"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1035",0,NA,NA,NA,NA,NA
"1036",0,NA,NA,NA,NA,NA
"1037",0,NA,NA,NA,NA,NA
"1038",0,NA,NA,NA,NA,NA
"1039",0,NA,NA,NA,NA,NA
"1040",0,NA,NA,NA,NA,NA
"1041",0,NA,NA,NA,NA,NA
"1042",0,NA,NA,NA,NA,NA
"1043",0,NA,NA,NA,NA,NA
"1044",0,NA,NA,NA,NA,NA
"1045",0,NA,NA,NA,NA,NA
"1046",0,NA,NA,NA,NA,NA
"1047",0,NA,NA,NA,NA,NA
"1048",0,NA,NA,NA,NA,NA
"1049",0,NA,NA,NA,NA,NA
"1050",0,NA,NA,NA,NA,NA
"1051",0,NA,NA,NA,NA,NA
"1052",0,NA,NA,NA,NA,NA
"1053",0,NA,NA,NA,NA,NA
"1054",0,NA,NA,NA,NA,NA
"1055",0,NA,NA,NA,NA,NA
"1056",0,NA,NA,NA,NA,NA
"1057",0,NA,NA,NA,NA,NA
"1058",0,NA,NA,NA,NA,NA
"1059",0,NA,NA,NA,NA,NA
"1060",0,NA,NA,NA,NA,NA
"1061",0,NA,NA,NA,NA,NA
"1062",0,NA,NA,NA,NA,NA
"1063",0,NA,NA,NA,NA,NA
"1064",0,NA,NA,NA,NA,NA
"1065",0,NA,NA,NA,NA,NA
"1066",0,NA,NA,NA,NA,NA
"1067",0,NA,NA,NA,NA,NA
"1068",0,NA,NA,NA,NA,NA
"1069",0,NA,NA,NA,NA,NA
"1070",0,NA,NA,NA,NA,NA
"1071",0,NA,NA,NA,NA,NA
"1072",0,NA,NA,NA,NA,NA
"1073",0,NA,NA,NA,NA,NA
"1074",0,NA,NA,NA,NA,NA
"1075",0,NA,NA,NA,NA,NA
"1076",0,NA,NA,NA,NA,NA
"1077",0,NA,NA,NA,NA,NA
"1078",0,NA,NA,NA,NA,NA
"1079",0,NA,NA,NA,NA,NA
"1080",0,NA,NA,NA,NA,NA
"1081",0,NA,NA,NA,NA,NA
"1082",0,NA,NA,NA,NA,NA
"1083",0,NA,NA,NA,NA,NA
"1084",0,NA,NA,NA,NA,NA
"1085",0,NA,NA,NA,NA,NA
"1086",0,NA,NA,NA,NA,NA
"1087",0,NA,NA,NA,NA,NA
"1088",0,NA,NA,NA,NA,NA
"1089",0,NA,NA,NA,NA,NA
"1090",0,NA,NA,NA,NA,NA
"1091",0,NA,NA,NA,NA,NA
"1092",0,NA,NA,NA,NA,NA
"1093",0,NA,NA,NA,NA,NA
"1094",0,NA,NA,NA,NA,NA
"1095",0,NA,NA,NA,NA,NA
"1096",0,NA,NA,NA,NA,NA
"1097",0,NA,NA,NA,NA,NA
"1098",0,NA,NA,NA,NA,NA
"1099",0,NA,NA,NA,NA,NA
"1100",0,NA,NA,NA,NA,NA
"1101",0,NA,NA,NA,NA,NA
"1102",0,NA,NA,NA,NA,NA
"1103",0,NA,NA,NA,NA,NA
"1104",0,NA,NA,NA,NA,NA
"1105",0,NA,NA,NA,NA,NA
"1106",0,NA,NA,NA,NA,NA
"1107",0,NA,NA,NA,NA,NA
"1108",0,NA,NA,NA,NA,NA
"1109",0,NA,NA,NA,NA,NA
"1110",0,NA,NA,NA,NA,NA
"1111",0,NA,NA,NA,NA,NA
"1112",0,NA,NA,NA,NA,NA
"1113",0,NA,NA,NA,NA,NA
"1114",0,NA,NA,NA,NA,NA
"1115",0,NA,NA,NA,NA,NA
"1116",0,NA,NA,NA,NA,NA
"1117",0,NA,NA,NA,NA,NA
"1118",0,NA,NA,NA,NA,NA
"1119",0,NA,NA,NA,NA,NA
"1120",0,NA,NA,NA,NA,NA
"1121",0,NA,NA,NA,NA,NA
"1122",0,NA,NA,NA,NA,NA
"1123",0,NA,NA,NA,NA,NA
"1124",0,NA,NA,NA,NA,NA
"1125",0,NA,NA,NA,NA,NA
"1126",0,NA,NA,NA,NA,NA
"1127",0,NA,NA,NA,NA,NA
"1128",0,NA,NA,NA,NA,NA
"1129",0,NA,NA,NA,NA,NA
"1130",0,NA,NA,NA,NA,NA
"1131",0,NA,NA,NA,NA,NA
"1132",0,NA,NA,NA,NA,NA
"1133",0,NA,NA,NA,NA,NA
"1134",0,NA,NA,NA,NA,NA
"1135",0,NA,NA,NA,NA,NA
"1136",0,NA,NA,NA,NA,NA
"1137",0,NA,NA,NA,NA,NA
"1138",0,NA,NA,NA,NA,NA
"1139",0,NA,NA,NA,NA,NA
"1140",0,NA,NA,NA,NA,NA
"1141",0,NA,NA,NA,NA,NA
"1142",0,NA,NA,NA,NA,NA
"1143",0,NA,NA,NA,NA,NA
"1144",0,NA,NA,NA,NA,NA
"1145",0,NA,NA,NA,NA,NA
"1146",0,NA,NA,NA,NA,NA
"1147",0,NA,NA,NA,NA,NA
"1148",0,NA,NA,NA,NA,NA
"1149",0,NA,NA,NA,NA,NA
"1150",0,NA,NA,NA,NA,NA
"1151",0,NA,NA,NA,NA,NA
"1152",0,NA,NA,NA,NA,NA
"1153",0,NA,NA,NA,NA,NA
"1154",0,NA,NA,NA,NA,NA
"1155",0,NA,NA,NA,NA,NA
"1156",0,NA,NA,NA,NA,NA
"1157",0,NA,NA,NA,NA,NA
"1158",0,NA,NA,NA,NA,NA
"1159",0,NA,NA,NA,NA,NA
"1160",0,NA,NA,NA,NA,NA
"1161",0,NA,NA,NA,NA,NA
"1162",0,NA,NA,NA,NA,NA
"1163",0,NA,NA,NA,NA,NA
"1164",0,NA,NA,NA,NA,NA
"1165",0,NA,NA,NA,NA,NA
"1166",0,NA,NA,NA,NA,NA
"1167",0,NA,NA,NA,NA,NA
"1168",0,NA,NA,NA,NA,NA
"1169",0,NA,NA,NA,NA,NA
"1170",0,NA,NA,NA,NA,NA
"1171",0,NA,NA,NA,NA,NA
"1172",0,NA,NA,NA,NA,NA
"1173",0,NA,NA,NA,NA,NA
"1174",0,NA,NA,NA,NA,NA
"1175",0,NA,NA,NA,NA,NA
"1176",0,NA,NA,NA,NA,NA
"1177",0,NA,NA,NA,NA,NA
"1178",0,NA,NA,NA,NA,NA
"1179",0,NA,NA,NA,NA,NA
"1180",0,NA,NA,NA,NA,NA
"1181",0,NA,NA,NA,NA,NA
"1182",0,NA,NA,NA,NA,NA
"1183",0,NA,NA,NA,NA,NA
"1184",0,NA,NA,NA,NA,NA
"1185",0,NA,NA,NA,NA,NA
"1186",0,NA,NA,NA,NA,NA
"1187",0,NA,NA,NA,NA,NA
"1188",0,NA,NA,NA,NA,NA
"1189",0,NA,NA,NA,NA,NA
"1190",0,NA,NA,NA,NA,NA
"1191",0,NA,NA,NA,NA,NA
"1192",0,NA,NA,NA,NA,NA
"1193",0,NA,NA,NA,NA,NA
"1194",0,NA,NA,NA,NA,NA
"1195",0,NA,NA,NA,NA,NA
"1196",0,NA,NA,NA,NA,NA
"1197",0,NA,NA,NA,NA,NA
"1198",0,NA,NA,NA,NA,NA
"1199",0,NA,NA,NA,NA,NA
"1200",0,NA,NA,NA,NA,NA
"1201",0,NA,NA,NA,NA,NA
"1202",0,NA,NA,NA,NA,NA
"1203",0,NA,NA,NA,NA,NA
"1204",0,NA,NA,NA,NA,NA
"1205",0,NA,NA,NA,NA,NA
"1206",0,NA,NA,NA,NA,NA
"1207",0,NA,NA,NA,NA,NA
"1208",0,NA,NA,NA,NA,NA
"1209",0,NA,NA,NA,NA,NA
"1210",0,NA,NA,NA,NA,NA
"1211",0,NA,NA,NA,NA,NA
"1212",0,NA,NA,NA,NA,NA
"1213",0,NA,NA,NA,NA,NA
"1214",0,NA,NA,NA,NA,NA
"1215",0,NA,NA,NA,NA,NA
"1216",0,NA,NA,NA,NA,NA
"1217",0,NA,NA,NA,NA,NA
"1218",0,NA,NA,NA,NA,NA
"1219",0,NA,NA,NA,NA,NA
"1220",0,NA,NA,NA,NA,NA
"1221",0,NA,NA,NA,NA,NA
"1222",0,NA,NA,NA,NA,NA
"1223",0,NA,NA,NA,NA,NA
"1224",0,NA,NA,NA,NA,NA
"1225",0,NA,NA,NA,NA,NA
"1226",0,NA,NA,NA,NA,NA
"1227",0,NA,NA,NA,NA,NA
"1228",0,NA,NA,NA,NA,NA
"1229",0,NA,NA,NA,NA,NA
"1230",0,NA,NA,NA,NA,NA
"1231",0,NA,NA,NA,NA,NA
"1232",0,NA,NA,NA,NA,NA
"1233",0,NA,NA,NA,NA,NA
"1234",0,NA,NA,NA,NA,NA
"1235",0,NA,NA,NA,NA,NA
"1236",0,NA,NA,NA,NA,NA
"1237",0,NA,NA,NA,NA,NA
"1238",0,NA,NA,NA,NA,NA
"1239",0,NA,NA,NA,NA,NA
"1240",0,NA,NA,NA,NA,NA
"1241",0,NA,NA,NA,NA,NA
"1242",0,NA,NA,NA,NA,NA
"1243",0,NA,NA,NA,NA,NA
"1244",0,NA,NA,NA,NA,NA
"1245",0,NA,NA,NA,NA,NA
"1246",0,NA,NA,NA,NA,NA
"1247",0,NA,NA,NA,NA,NA
"1248",0,NA,NA,NA,NA,NA
"1249",0,NA,NA,NA,NA,NA
"1250",0,NA,NA,NA,NA,NA
"1251",0,NA,NA,NA,NA,NA
"1252",0,NA,NA,NA,NA,NA
"1253",0,NA,NA,NA,NA,NA
"1254",0,NA,NA,NA,NA,NA
"1255",0,NA,NA,NA,NA,NA
"1256",0,NA,NA,NA,NA,NA
"1257",0,NA,NA,NA,NA,NA
"1258",0,NA,NA,NA,NA,NA
"1259",0,NA,NA,NA,NA,NA
"1260",0,NA,NA,NA,NA,NA
"1261",0,NA,NA,NA,NA,NA
"1262",0,NA,NA,NA,NA,NA
"1263",0,NA,NA,NA,NA,NA
"1264",0,NA,NA,NA,NA,NA
"1265",0,NA,NA,NA,NA,NA
"1266",0,NA,NA,NA,NA,NA
"1267",0,NA,NA,NA,NA,NA
"1268",0,NA,NA,NA,NA,NA
"1269",0,NA,NA,NA,NA,NA
"1270",0,NA,NA,NA,NA,NA
"1271",0,NA,NA,NA,NA,NA
"1272",0,NA,NA,NA,NA,NA
"1273",0,NA,NA,NA,NA,NA
"1274",0,NA,NA,NA,NA,NA
"1275",0,NA,NA,NA,NA,NA
"1276",0,NA,NA,NA,NA,NA
"1277",0,NA,NA,NA,NA,NA
"1278",0,NA,NA,NA,NA,NA
"1279",0,NA,NA,NA,NA,NA
"1280",0,NA,NA,NA,NA,NA
"1281",0,NA,NA,NA,NA,NA
"1282",0,NA,NA,NA,NA,NA
"1283",0,NA,NA,NA,NA,NA
"1284",0,NA,NA,NA,NA,NA
"1285",0,NA,NA,NA,NA,NA
"1286",0,NA,NA,NA,NA,NA
"1287",0,NA,NA,NA,NA,NA
"1288",0,NA,NA,NA,NA,NA
"1289",0,NA,NA,NA,NA,NA
"1290",0,NA,NA,NA,NA,NA
"1291",0,NA,NA,NA,NA,NA
"1292",0,NA,NA,NA,NA,NA
"1293",0,NA,NA,NA,NA,NA
"1294",0,NA,NA,NA,NA,NA
"1295",0,NA,NA,NA,NA,NA
"1296",0,NA,NA,NA,NA,NA
"1297",0,NA,NA,NA,NA,NA
"1298",0,NA,NA,NA,NA,NA
"1299",0,NA,NA,NA,NA,NA
"1300",0,NA,NA,NA,NA,NA
"1301",0,NA,NA,NA,NA,NA
"1302",0,NA,NA,NA,NA,NA
"1303",0,NA,NA,NA,NA,NA
"1304",0,NA,NA,NA,NA,NA
"1305",0,NA,NA,NA,NA,NA
"1306",0,NA,NA,NA,NA,NA
"1307",0,NA,NA,NA,NA,NA
"1308",0,NA,NA,NA,NA,NA
"1309",0,NA,NA,NA,NA,NA
"1310",0,NA,NA,NA,NA,NA
"1311",0,NA,NA,NA,NA,NA
"1312",0,NA,NA,NA,NA,NA
"1313",0,NA,NA,NA,NA,NA
"1314",0,NA,NA,NA,NA,NA
"1315",0,NA,NA,NA,NA,NA
"1316",0,NA,NA,NA,NA,NA
"1317",0,NA,NA,NA,NA,NA
"1318",0,NA,NA,NA,NA,NA
"1319",0,NA,NA,NA,NA,NA
"1320",0,NA,NA,NA,NA,NA
"1321",0,NA,NA,NA,NA,NA
"1322",0,NA,NA,NA,NA,NA
"1323",0,NA,NA,NA,NA,NA
"1324",0,NA,NA,NA,NA,NA
"1325",0,NA,NA,NA,NA,NA
"1326",0,NA,NA,NA,NA,NA
"1327",0,NA,NA,NA,NA,NA
"1328",0,NA,NA,NA,NA,NA
"1329",0,NA,NA,NA,NA,NA
"1330",0,NA,NA,NA,NA,NA
"1331",0,NA,NA,NA,NA,NA
"1332",0,NA,NA,NA,NA,NA
"1333",0,NA,NA,NA,NA,NA
"1334",0,NA,NA,NA,NA,NA
"1335",0,NA,NA,NA,NA,NA
"1336",0,NA,NA,NA,NA,NA
"1337",0,NA,NA,NA,NA,NA
"1338",0,NA,NA,NA,NA,NA
"1339",0,NA,NA,NA,NA,NA
"1340",0,NA,NA,NA,NA,NA
"1341",0,NA,NA,NA,NA,NA
"1342",0,NA,NA,NA,NA,NA
"1343",0,NA,NA,NA,NA,NA
"1344",0,NA,NA,NA,NA,NA
"1345",0,NA,NA,NA,NA,NA
"1346",0,NA,NA,NA,NA,NA
"1347",0,NA,NA,NA,NA,NA
"1348",0,NA,NA,NA,NA,NA
"1349",0,NA,NA,NA,NA,NA
"1350",0,NA,NA,NA,NA,NA
"1351",0,NA,NA,NA,NA,NA
"1352",0,NA,NA,NA,NA,NA
"1353",0,NA,NA,NA,NA,NA
"1354",0,NA,NA,NA,NA,NA
"1355",0,NA,NA,NA,NA,NA
"1356",0,NA,NA,NA,NA,NA
"1357",0,NA,NA,NA,NA,NA
"1358",0,NA,NA,NA,NA,NA
"1359",0,NA,NA,NA,NA,NA
"1360",0,NA,NA,NA,NA,NA
"1361",0,NA,NA,NA,NA,NA
"1362",0,NA,NA,NA,NA,NA
"1363",0,NA,NA,NA,NA,NA
"1364",0,NA,NA,NA,NA,NA
"1365",0,NA,NA,NA,NA,NA
"1366",0,NA,NA,NA,NA,NA
"1367",0,NA,NA,NA,NA,NA
"1368",0,NA,NA,NA,NA,NA
"1369",0,NA,NA,NA,NA,NA
"1370",0,NA,NA,NA,NA,NA
"1371",0,NA,NA,NA,NA,NA
"1372",0,NA,NA,NA,NA,NA
"1373",0,NA,NA,NA,NA,NA
"1374",0,NA,NA,NA,NA,NA
"1375",0,NA,NA,NA,NA,NA
"1376",0,NA,NA,NA,NA,NA
"1377",0,NA,NA,NA,NA,NA
"1378",0,NA,NA,NA,NA,NA
"1379",0,NA,NA,NA,NA,NA
"1380",0,NA,NA,NA,NA,NA
"1381",0,NA,NA,NA,NA,NA
"1382",0,NA,NA,NA,NA,NA
"1383",0,NA,NA,NA,NA,NA
"1384",0,NA,NA,NA,NA,NA
"1385",0,NA,NA,NA,NA,NA
"1386",0,NA,NA,NA,NA,NA
"1387",0,NA,NA,NA,NA,NA
"1388",0,NA,NA,NA,NA,NA
"1389",0,NA,NA,NA,NA,NA
"1390",0,NA,NA,NA,NA,NA
"1391",0,NA,NA,NA,NA,NA
"1392",0,NA,NA,NA,NA,NA
"1393",0,NA,NA,NA,NA,NA
"1394",0,NA,NA,NA,NA,NA
"1395",0,NA,NA,NA,NA,NA
"1396",0,NA,NA,NA,NA,NA
"1397",0,NA,NA,NA,NA,NA
"1398",0,NA,NA,NA,NA,NA
"1399",0,NA,NA,NA,NA,NA
"1400",0,NA,NA,NA,NA,NA
"1401",0,NA,NA,NA,NA,NA
"1402",0,NA,NA,NA,NA,NA
"1403",0,NA,NA,NA,NA,NA
"1404",0,NA,NA,NA,NA,NA
"1405",0,NA,NA,NA,NA,NA
"1406",0,NA,NA,NA,NA,NA
"1407",0,NA,NA,NA,NA,NA
"1408",0,NA,NA,NA,NA,NA
"1409",0,NA,NA,NA,NA,NA
"1410",0,NA,NA,NA,NA,NA
"1411",0,NA,NA,NA,NA,NA
"1412",0,NA,NA,NA,NA,NA
"1413",0,NA,NA,NA,NA,NA
"1414",0,NA,NA,NA,NA,NA
"1415",0,NA,NA,NA,NA,NA
"1416",0,NA,NA,NA,NA,NA
"1417",0,NA,NA,NA,NA,NA
"1418",0,NA,NA,NA,NA,NA
"1419",0,NA,NA,NA,NA,NA
"1420",0,NA,NA,NA,NA,NA
"1421",0,NA,NA,NA,NA,NA
"1422",0,NA,NA,NA,NA,NA
"1423",0,NA,NA,NA,NA,NA
"1424",0,NA,NA,NA,NA,NA
"1425",0,NA,NA,NA,NA,NA
"1426",0,NA,NA,NA,NA,NA
"1427",0,NA,NA,NA,NA,NA
"1428",0,NA,NA,NA,NA,NA
"1429",0,NA,NA,NA,NA,NA
"1430",0,NA,NA,NA,NA,NA
"1431",0,NA,NA,NA,NA,NA
"1432",0,NA,NA,NA,NA,NA
"1433",0,NA,NA,NA,NA,NA
"1434",0,NA,NA,NA,NA,NA
"1435",0,NA,NA,NA,NA,NA
"1436",0,NA,NA,NA,NA,NA
"1437",0,NA,NA,NA,NA,NA
"1438",0,NA,NA,NA,NA,NA
"1439",0,NA,NA,NA,NA,NA
"1440",0,NA,NA,NA,NA,NA
"1441",0,NA,NA,NA,NA,NA
"1442",0,NA,NA,NA,NA,NA
"1443",0,NA,NA,NA,NA,NA
"1444",0,NA,NA,NA,NA,NA
"1445",0,NA,NA,NA,NA,NA
"1446",0,NA,NA,NA,NA,NA
"1447",0,NA,NA,NA,NA,NA
"1448",0,NA,NA,NA,NA,NA
"1449",0,NA,NA,NA,NA,NA
"1450",0,NA,NA,NA,NA,NA
"1451",0,NA,NA,NA,NA,NA
"1452",0,NA,NA,NA,NA,NA
"1453",0,NA,NA,NA,NA,NA
"1454",0,NA,NA,NA,NA,NA
"1455",0,NA,NA,NA,NA,NA
"1456",0,NA,NA,NA,NA,NA
"1457",0,NA,NA,NA,NA,NA
"1458",0,NA,NA,NA,NA,NA
"1459",0,NA,NA,NA,NA,NA
"1460",0,NA,NA,NA,NA,NA
"1461",0,NA,NA,NA,NA,NA
"1462",0,NA,NA,NA,NA,NA
"1463",0,NA,NA,NA,NA,NA
"1464",0,NA,NA,NA,NA,NA
"1465",0,NA,NA,NA,NA,NA
"1466",0,NA,NA,NA,NA,NA
"1467",0,NA,NA,NA,NA,NA
"1468",0,NA,NA,NA,NA,NA
"1469",0,NA,NA,NA,NA,NA
"1470",0,NA,NA,NA,NA,NA
"1471",0,NA,NA,NA,NA,NA
"1472",0,NA,NA,NA,NA,NA
"1473",0,NA,NA,NA,NA,NA
"1474",0,NA,NA,NA,NA,NA
"1475",0,NA,NA,NA,NA,NA
"1476",0,NA,NA,NA,NA,NA
"1477",0,NA,NA,NA,NA,NA
"1478",0,NA,NA,NA,NA,NA
"1479",0,NA,NA,NA,NA,NA
"1480",0,NA,NA,NA,NA,NA
"1481",0,NA,NA,NA,NA,NA
"1482",0,NA,NA,NA,NA,NA
"1483",0,NA,NA,NA,NA,NA
"1484",0,NA,NA,NA,NA,NA
"1485",0,NA,NA,NA,NA,NA
"1486",0,NA,NA,NA,NA,NA
"1487",0,NA,NA,NA,NA,NA
"1488",0,NA,NA,NA,NA,NA
"1489",0,NA,NA,NA,NA,NA
"1490",0,NA,NA,NA,NA,NA
"1491",0,NA,NA,NA,NA,NA
"1492",0,NA,NA,NA,NA,NA
"1493",0,NA,NA,NA,NA,NA
"1494",0,NA,NA,NA,NA,NA
"1495",0,NA,NA,NA,NA,NA
"1496",0,NA,NA,NA,NA,NA
"1497",0,NA,NA,NA,NA,NA
"1498",0,NA,NA,NA,NA,NA
"1499",0,NA,NA,NA,NA,NA
"1500",0,NA,NA,NA,NA,NA
"1501",0,NA,NA,NA,NA,NA
"1502",0,NA,NA,NA,NA,NA
"1503",0,NA,NA,NA,NA,NA
"1504",0,NA,NA,NA,NA,NA
"1505",0,NA,NA,NA,NA,NA
"1506",0,NA,NA,NA,NA,NA
"1507",0,NA,NA,NA,NA,NA
"1508",0,NA,NA,NA,NA,NA
"1509",0,NA,NA,NA,NA,NA
"1510",0,NA,NA,NA,NA,NA
"1511",0,NA,NA,NA,NA,NA
"1512",0,NA,NA,NA,NA,NA
"1513",0,NA,NA,NA,NA,NA
"1514",0,NA,NA,NA,NA,NA
"1515",0,NA,NA,NA,NA,NA
"1516",0,NA,NA,NA,NA,NA
"1517",0,NA,NA,NA,NA,NA
"1518",0,NA,NA,NA,NA,NA
"1519",0,NA,NA,NA,NA,NA
"1520",0,NA,NA,NA,NA,NA
"1521",0,NA,NA,NA,NA,NA
"1522",0,NA,NA,NA,NA,NA
"1523",0,NA,NA,NA,NA,NA
"1524",0,NA,NA,NA,NA,NA
"1525",0,NA,NA,NA,NA,NA
"1526",0,NA,NA,NA,NA,NA
"1527",0,NA,NA,NA,NA,NA
"1528",0,NA,NA,NA,NA,NA
"1529",0,NA,NA,NA,NA,NA
"1530",0,NA,NA,NA,NA,NA
"1531",0,NA,NA,NA,NA,NA
"1532",0,NA,NA,NA,NA,NA
"1533",0,NA,NA,NA,NA,NA
"1534",0,NA,NA,NA,NA,NA
"1535",0,NA,NA,NA,NA,NA
"1536",0,NA,NA,NA,NA,NA
"1537",0,NA,NA,NA,NA,NA
"1538",0,NA,NA,NA,NA,NA
"1539",0,NA,NA,NA,NA,NA
"1540",0,NA,NA,NA,NA,NA
"1541",0,NA,NA,NA,NA,NA
"1542",0,NA,NA,NA,NA,NA
"1543",0,NA,NA,NA,NA,NA
"1544",0,NA,NA,NA,NA,NA
"1545",0,NA,NA,NA,NA,NA
"1546",0,NA,NA,NA,NA,NA
"1547",0,NA,NA,NA,NA,NA
"1548",0,NA,NA,NA,NA,NA
"1549",0,NA,NA,NA,NA,NA
"1550",0,NA,NA,NA,NA,NA
"1551",0,NA,NA,NA,NA,NA
"1552",0,NA,NA,NA,NA,NA
"1553",0,NA,NA,NA,NA,NA
"1554",0,NA,NA,NA,NA,NA
"1555",0,NA,NA,NA,NA,NA
"1556",0,NA,NA,NA,NA,NA
"1557",0,NA,NA,NA,NA,NA
"1558",0,NA,NA,NA,NA,NA
"1559",0,NA,NA,NA,NA,NA
"1560",0,NA,NA,NA,NA,NA
"1561",0,NA,NA,NA,NA,NA
"1562",0,NA,NA,NA,NA,NA
"1563",0,NA,NA,NA,NA,NA
"1564",0,NA,NA,NA,NA,NA
"1565",0,NA,NA,NA,NA,NA
"1566",0,NA,NA,NA,NA,NA
"1567",0,NA,NA,NA,NA,NA
"1568",0,NA,NA,NA,NA,NA
"1569",0,NA,NA,NA,NA,NA
"1570",0,NA,NA,NA,NA,NA
"1571",0,NA,NA,NA,NA,NA
"1572",0,NA,NA,NA,NA,NA
"1573",0,NA,NA,NA,NA,NA
"1574",0,NA,NA,NA,NA,NA
"1575",0,NA,NA,NA,NA,NA
"1576",0,NA,NA,NA,NA,NA
"1577",0,NA,NA,NA,NA,NA
"1578",0,NA,NA,NA,NA,NA
"1579",0,NA,NA,NA,NA,NA
"1580",0,NA,NA,NA,NA,NA
"1581",0,NA,NA,NA,NA,NA
"1582",0,NA,NA,NA,NA,NA
"1583",0,NA,NA,NA,NA,NA
"1584",0,NA,NA,NA,NA,NA
"1585",0,NA,NA,NA,NA,NA
"1586",0,NA,NA,NA,NA,NA
"1587",0,NA,NA,NA,NA,NA
"1588",0,NA,NA,NA,NA,NA
"1589",0,NA,NA,NA,NA,NA
"1590",0,NA,NA,NA,NA,NA
"1591",0,NA,NA,NA,NA,NA
"1592",0,NA,NA,NA,NA,NA
"1593",0,NA,NA,NA,NA,NA
"1594",0,NA,NA,NA,NA,NA
"1595",0,NA,NA,NA,NA,NA
"1596",0,NA,NA,NA,NA,NA
"1597",0,NA,NA,NA,NA,NA
"1598",0,NA,NA,NA,NA,NA
"1599",0,NA,NA,NA,NA,NA
"1600",0,NA,NA,NA,NA,NA
"1601",0,NA,NA,NA,NA,NA
"1602",0,NA,NA,NA,NA,NA
"1603",0,NA,NA,NA,NA,NA
"1604",0,NA,NA,NA,NA,NA
"1605",0,NA,NA,NA,NA,NA
"1606",0,NA,NA,NA,NA,NA
"1607",0,NA,NA,NA,NA,NA
"1608",0,NA,NA,NA,NA,NA
"1609",0,NA,NA,NA,NA,NA
"1610",0,NA,NA,NA,NA,NA
"1611",0,NA,NA,NA,NA,NA
"1612",0,NA,NA,NA,NA,NA
"1613",0,NA,NA,NA,NA,NA
"1614",0,NA,NA,NA,NA,NA
"1615",0,NA,NA,NA,NA,NA
"1616",0,NA,NA,NA,NA,NA
"1617",0,NA,NA,NA,NA,NA
"1618",0,NA,NA,NA,NA,NA
"1619",0,NA,NA,NA,NA,NA
"1620",0,NA,NA,NA,NA,NA
"1621",0,NA,NA,NA,NA,NA
"1622",0,NA,NA,NA,NA,NA
"1623",0,NA,NA,NA,NA,NA
"1624",0,NA,NA,NA,NA,NA
"1625",0,NA,NA,NA,NA,NA
"1626",0,NA,NA,NA,NA,NA
"1627",0,NA,NA,NA,NA,NA
"1628",0,NA,NA,NA,NA,NA
"1629",0,NA,NA,NA,NA,NA
"1630",0,NA,NA,NA,NA,NA
"1631",0,NA,NA,NA,NA,NA
"1632",0,NA,NA,NA,NA,NA
"1633",0,NA,NA,NA,NA,NA
"1634",0,NA,NA,NA,NA,NA
"1635",0,NA,NA,NA,NA,NA
"1636",0,NA,NA,NA,NA,NA
"1637",0,NA,NA,NA,NA,NA
"1638",0,NA,NA,NA,NA,NA
"1639",0,NA,NA,NA,NA,NA
"1640",0,NA,NA,NA,NA,NA
"1641",0,NA,NA,NA,NA,NA
"1642",0,NA,NA,NA,NA,NA
"1643",0,NA,NA,NA,NA,NA
"1644",0,NA,NA,NA,NA,NA
"1645",0,NA,NA,NA,NA,NA
"1646",0,NA,NA,NA,NA,NA
"1647",0,NA,NA,NA,NA,NA
"1648",0,NA,NA,NA,NA,NA
"1649",0,NA,NA,NA,NA,NA
"1650",0,NA,NA,NA,NA,NA
"1651",0,NA,NA,NA,NA,NA
"1652",0,NA,NA,NA,NA,NA
"1653",0,NA,NA,NA,NA,NA
"1654",0,NA,NA,NA,NA,NA
"1655",0,NA,NA,NA,NA,NA
"1656",0,NA,NA,NA,NA,NA
"1657",0,NA,NA,NA,NA,NA
"1658",0,NA,NA,NA,NA,NA
"1659",0,NA,NA,NA,NA,NA
"1660",0,NA,NA,NA,NA,NA
"1661",0,NA,NA,NA,NA,NA
"1662",0,NA,NA,NA,NA,NA
"1663",0,NA,NA,NA,NA,NA
"1664",0,NA,NA,NA,NA,NA
"1665",0,NA,NA,NA,NA,NA
"1666",0,NA,NA,NA,NA,NA
"1667",0,NA,NA,NA,NA,NA
"1668",0,NA,NA,NA,NA,NA
"1669",0,NA,NA,NA,NA,NA
"1670",0,NA,NA,NA,NA,NA
"1671",0,NA,NA,NA,NA,NA
"1672",0,NA,NA,NA,NA,NA
"1673",0,NA,NA,NA,NA,NA
"1674",0,NA,NA,NA,NA,NA
"1675",0,NA,NA,NA,NA,NA
"1676",0,NA,NA,NA,NA,NA
"1677",0,NA,NA,NA,NA,NA
"1678",0,NA,NA,NA,NA,NA
"1679",0,NA,NA,NA,NA,NA
"1680",0,NA,NA,NA,NA,NA
"1681",0,NA,NA,NA,NA,NA
"1682",0,NA,NA,NA,NA,NA
"1683",0,NA,NA,NA,NA,NA
"1684",0,NA,NA,NA,NA,NA
"1685",0,NA,NA,NA,NA,NA
"1686",0,NA,NA,NA,NA,NA
"1687",0,NA,NA,NA,NA,NA
"1688",0,NA,NA,NA,NA,NA
"1689",0,NA,NA,NA,NA,NA
"1690",0,NA,NA,NA,NA,NA
"1691",0,NA,NA,NA,NA,NA
"1692",0,NA,NA,NA,NA,NA
"1693",0,NA,NA,NA,NA,NA
"1694",0,NA,NA,NA,NA,NA
"1695",0,NA,NA,NA,NA,NA
"1696",0,NA,NA,NA,NA,NA
"1697",0,NA,NA,NA,NA,NA
"1698",0,NA,NA,NA,NA,NA
"1699",0,NA,NA,NA,NA,NA
